Soil Moisture,Humidity,Temperature,PH level,State
40,18.6,6,,Dehydrated
39,58,18.6,6,Dehydrated
39,58,18.6,6,Dehydrated
39,58,18.6,6,Dehydrated
40,58,18.6,6,Dehydrated
40,58,18.6,6,Dehydrated
40,57,18.6,6,Dehydrated
39,57,18.6,6,Dehydrated
39,57,18.6,6,Dehydrated
39,57,18.6,6,Dehydrated
40,57,18.5,6,Dehydrated
40,57,18.5,6,Dehydrated
40,57,18.5,6,Dehydrated
39,57,18.5,6,Dehydrated
40,56,18.5,6,Dehydrated
40,56,18.5,6,Dehydrated
40,56,18.5,6,Dehydrated
40,56,18.5,7,Dehydrated
40,56,18.5,6,Dehydrated
40,56,18.5,7,Dehydrated
40,56,18.5,6,Dehydrated
40,56,18.5,7,Dehydrated
40,56,18.5,7,Dehydrated
40,56,18.5,7,Dehydrated
40,56,18.5,6,Dehydrated
40,56,18.5,6,Dehydrated
40,56,18.5,6,Dehydrated
40,56,18.5,6,Dehydrated
40,56,18.4,6,Dehydrated
39,56,18.4,6,Dehydrated
40,56,18.5,6,Dehydrated
50,56,18.5,6,Dehydrated
52,56,18.4,6,Dehydrated
44,56,18.4,6,Dehydrated
44,56,18.5,6,Dehydrated
44,56,18.5,6,Dehydrated
44,56,18.5,6,Dehydrated
44,56,18.5,6,Dehydrated
44,56,18.4,6,Dehydrated
43,56,18.4,6,Dehydrated
43,56,18.4,6,Dehydrated
43,56,18.4,6,Dehydrated
43,56,18.4,6,Dehydrated
43,56,18.4,6,Dehydrated
43,56,18.4,6,Dehydrated
43,56,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,2,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,2,Dehydrated
43,55,18.4,5,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.4,6,Dehydrated
43,55,18.3,6,Dehydrated
43,55,18.3,7,Dehydrated
43,54,18.3,7,Dehydrated
43,54,18.3,7,Dehydrated
43,54,18.3,7,Dehydrated
43,54,18.3,7,Dehydrated
43,55,18.3,7,Dehydrated
43,55,18.3,7,Dehydrated
43,55,18.3,7,Dehydrated
43,55,18.3,7,Dehydrated
43,55,18.3,7,Dehydrated
43,55,18.3,7,Dehydrated
43,55,18.3,7,Dehydrated
43,55,18.3,7,Dehydrated
43,55,18.3,7,Dehydrated
38,55,18.3,8,Dehydrated
43,55,18.3,8,Dehydrated
41,55,18.3,8,Dehydrated
41,55,18.3,7,Dehydrated
41,55,18.3,7,Dehydrated
41,55,18.3,7,Dehydrated
40,55,18.3,7,Dehydrated
40,55,18.3,7,Dehydrated
40,55,18.3,7,Dehydrated
40,55,18.3,7,Dehydrated
40,55,18.3,7,Dehydrated
40,55,18.3,7,Dehydrated
40,55,18.3,7,Dehydrated
40,55,18.3,7,Dehydrated
40,55,18.3,7,Dehydrated
40,56,18.3,7,Dehydrated
40,56,18.3,7,Dehydrated
40,57,18.3,6,Dehydrated
40,57,18.3,6,Dehydrated
40,58,18.3,6,Dehydrated
40,58,18.3,6,Dehydrated
40,59,18.3,6,Dehydrated
40,59,18.3,6,Dehydrated
40,59,18.3,6,Dehydrated
40,59,18.3,6,Dehydrated
40,60,18.4,6,Dehydrated
40,57,18,6,Dehydrated
40,57,18.1,6,Dehydrated
40,57,18.1,6,Dehydrated
40,57,18,6,Dehydrated
40,57,18,7,Dehydrated
40,57,18,7,Dehydrated
40,57,18,7,Dehydrated
40,57,18,7,Dehydrated
40,57,18,7,Dehydrated
40,57,18,7,Dehydrated
40,57,18,7,Dehydrated
40,57,18,7,Dehydrated
40,57,18,7,Dehydrated
40,57,18,7,Dehydrated
40,57,18,7,Dehydrated
35,57,17.9,7,Dehydrated
55,57,17.9,7,Dehydrated
35,57,17.9,6,Dehydrated
35,57,17.9,7,Dehydrated
36,57,17.9,7,Dehydrated
40,57,17.9,7,Dehydrated
40,57,17.9,7,Dehydrated
40,57,17.9,7,Dehydrated
40,57,17.9,8,Dehydrated
40,57,17.9,9,Dehydrated
40,57,17.9,10,Dehydrated
38,57,17.9,5,Dehydrated
39,57,17.9,7,Dehydrated
42,57,17.9,6,Dehydrated
42,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
41,56,17.9,6,Dehydrated
